Qty,Manufacturer Part Number,Status,Notes
1,652-MFR110,verified,Polyfuse for 12 V input
1,637-1N5819,verified,Reverse polarity Schottky diode
1,576-1.5KE15A,verified,15 V TVS diode
1,926-LM2596T-5.0/NOPB,verified,5 V buck regulator
1,494-1N5822,verified,Buck catch diode
1,652-2100LL-330-H-RC,verified,33 uH THT toroidal power inductor
4,71-RN55C9761BRE5,verified,9.76k 0.1% feedback resistor
4,652-3296W-1-501,verified,Trim pot for output gain calibration
1,595-SN754410NE,verified,Dual H-bridge driver for the two fader motors
22,512-1N4148,verified,Clamp diodes across CV, gate, mux, and output paths
4,595-OPA277PA,verified,Precision op amp for CV outputs
1,584-AD780ANZ,verified,2.5 V reference
1,474-PRT-14275,verified,2x20 male GPIO header for the Raspberry Pi stack
1,485-610,verified,Panel mount 2.1 mm DC barrel jack
10,502-35RAPC2AHN2,verified,3.5 mm mono jacks for CV and gate I/O
3,633-D22013LP,verified,ON-OFF-ON panel toggle switch
1,595-SN74HCT14N,verified,Through-hole Schmitt trigger inverter for gate conditioning
